고유번호,지형지물부호,고유번호,한강지구구분,주차장명,주차장위치,PPOSIT,비고,관리기관,관리자명,전화번호,위도,경도
39,AE230,92,GIGU005,주차장, ,PST002,"요금 : 최초30분 1,000원, 초과 10분당 200원, 1일주차최고한도 : 10,000원, 월정기권 : 50,000원, 운영시간09:00~23:00", , ,보고시스텍(주)(02-577-3331),37.5180521,126.992273
43,AE230,62,GIGU007,주차장,63빌딩앞,PST002,"요금 : 최초30분 2,000원, 초과 10분당 300원, 1일주차최고한도 : 15,000원, 월정기권 : 100,000원(샛강쪽:80,000원), 운영시간09:00~23:00", , ,피코리아 주차관리업소(02-842-0224),37.5229144,126.9395471
50,AE230,15,GIGU011,주차장,보트장길,PST001,"요금 : 최초30분 1,000원, 초과 10분당 200원, 1일주차최고한도 : 10,000원, 월정기권 : 50,000원, 운영시간09:00~23:00", , ,피코리아 주차관리업소(02-842-0224),37.5543652,126.8972237
51,AE230,89,GIGU010,주차장,주차장,PST002,"요금 : 최초30분 1,000원, 초과 10분당 200원, 1일주차최고한도 : 10,000원, 월정기권 : 50,000원, 운영시간09:00~23:00", , ,피코리아 주차관리업소(02-842-0224),37.5696507,126.8735892
54,AE230,56,GIGU004,주차장,트랙구장옆,PST002,"요금 : 최초30분 1,000원, 초과 10분당 200원, 1일주차최고한도 : 10,000원, 월정기권 : 50,000원, 운영시간09:00~23:00", , ,보고시스텍(주)(02-577-3331),37.528026,127.0206947
55,AE230,65,GIGU001,주차장,잠실대교밑,PST002,"요금 : 최초30분 1,000원, 초과 10분당 200원, 1일주차최고한도 : 10,000원, 월정기권 : 50,000원, 운영시간09:00~23:00", , ,(주)더한인터내셔널(02-416-0313),37.5206842,127.0956589
1,AE230,8,GIGU002,주차장,모형비행장,PST002,"요금 : 최초30분 1,000원, 초과 10분당 200원, 1일주차최고한도 : 10,000원, 월정기권 : 50,000원, 운영시간09:00~23:00", , ,(주)더한인터내셔널(02-416-0313),37.5600336,127.1266408
4,AE230,71,GIGU001,주차장,세모앞,PST002,"요금 : 최초30분 1,000원, 초과 10분당 200원, 1일주차최고한도 : 10,000원, 월정기권 : 50,000원, 운영시간09:00~23:00", , ,(주)더한인터내셔널(02-416-0313),37.5176762,127.0810625
5,AE230,74,GIGU007,주차장, ,PST001,"요금 : 최초30분 2,000원, 초과 10분당 300원, 1일주차최고한도 : 15,000원, 월정기권 : 100,000원(샛강쪽:80,000원), 운영시간09:00~23:00", , , ,37.5173189,126.9364369
6,AE230,78,GIGU007,주차장, ,PST002,"요금 : 최초30분 2,000원, 초과 10분당 300원, 1일주차최고한도 : 15,000원, 월정기권 : 100,000원(샛강쪽:80,000원), 운영시간09:00~23:00", , , ,37.5168489,126.9353252
8,AE230,24,GIGU011,주차장,절두산성지밑,PST002,"요금 : 최초30분 1,000원, 초과 10분당 200원, 1일주차최고한도 : 10,000원, 월정기권 : 50,000원, 운영시간09:00~23:00", , ,피코리아 주차관리업소(02-842-0224),37.5448594,126.9101542
9,AE230,32,GIGU002,주차장,도선장앞,PST002,"요금 : 최초30분 1,000원, 초과 10분당 200원, 1일주차최고한도 : 10,000원, 월정기권 : 50,000원, 운영시간09:00~23:00", , ,(주)더한인터내셔널(02-416-0313),37.5394557,127.1138547
10,AE230,33,GIGU009,주차장, ,PST001,"요금 : 최초30분 1,000원, 초과 10분당 200원, 1일주차최고한도 : 10,000원, 월정기권 : 50,000원, 운영시간09:00~23:00", , ,피코리아 주차관리업소(02-842-0224),37.5382752,126.9025099
12,AE230,76,GIGU007,주차장, ,PST001,"요금 : 최초30분 2,000원, 초과 10분당 300원, 1일주차최고한도 : 15,000원, 월정기권 : 100,000원(샛강쪽:80,000원), 운영시간09:00~23:00", , , ,37.517115,126.934996
13,AE230,77,GIGU007,주차장, ,PST001,"요금 : 최초30분 2,000원, 초과 10분당 300원, 1일주차최고한도 : 15,000원, 월정기권 : 100,000원(샛강쪽:80,000원), 운영시간09:00~23:00", , , ,37.516972,126.9339532
14,AE230,36,GIGU009,주차장, ,PST001,"요금 : 최초30분 1,000원, 초과 10분당 200원, 1일주차최고한도 : 10,000원, 월정기권 : 50,000원, 운영시간09:00~23:00", , ,피코리아 주차관리업소(02-842-0224),37.5371831,126.9041049
15,AE230,18,GIGU011,주차장, ,PST001,"요금 : 최초30분 1,000원, 초과 10분당 200원, 1일주차최고한도 : 10,000원, 월정기권 : 50,000원, 운영시간09:00~23:00", , ,피코리아 주차관리업소(02-842-0224),37.5520389,126.899385
16,AE230,17,GIGU011,주차장, ,PST001,"요금 : 최초30분 1,000원, 초과 10분당 200원, 1일주차최고한도 : 10,000원, 월정기권 : 50,000원, 운영시간09:00~23:00", , ,피코리아 주차관리업소(02-842-0224),37.5523071,126.8995674
3,AE230,95,GIGU005,주차장,8401셔틀버스,PST001,"요금 : 최초30분 1,000원, 초과 10분당 200원, 1일주차최고한도 : 10,000원, 월정기권 : 50,000원, 운영시간09:00~23:00", , ,보고시스텍(주)(02-577-3331),37.5103834,126.997959
7,AE230,9,GIGU011,주차장,성산대교밑,PST002,"요금 : 최초30분 1,000원, 초과 10분당 200원, 1일주차최고한도 : 10,000원, 월정기권 : 50,000원, 운영시간09:00~23:00", , ,피코리아 주차관리업소(02-842-0224),37.5564299,126.8937251
11,AE230,11,GIGU011,주차장,성산대교밑,PST001,"요금 : 최초30분 1,000원, 초과 10분당 200원, 1일주차최고한도 : 10,000원, 월정기권 : 50,000원, 운영시간09:00~23:00", , ,피코리아 주차관리업소(02-842-0224),37.5556677,126.895243
17,AE230,16,GIGU011,주차장, ,PST001,"요금 : 최초30분 1,000원, 초과 10분당 200원, 1일주차최고한도 : 10,000원, 월정기권 : 50,000원, 운영시간09:00~23:00", , ,피코리아 주차관리업소(02-842-0224),37.5523235,126.8997558
18,AE230,29,GIGU008,주차장, ,PST001,"요금 : 최초30분 1,000원, 초과 10분당 200원, 1일주차최고한도 : 10,000원, 월정기권 : 50,000원, 운영시간09:00~23:00", , ,피코리아 주차관리업소(02-842-0224),37.5424605,126.9005481
19,AE230,10,GIGU011,주차장,성산대교밑,PST001,"요금 : 최초30분 1,000원, 초과 10분당 200원, 1일주차최고한도 : 10,000원, 월정기권 : 50,000원, 운영시간09:00~23:00", , ,피코리아 주차관리업소(02-842-0224),37.5562532,126.8946532
21,AE230,26,GIGU011,주차장, ,PST002,"요금 : 최초30분 1,000원, 초과 10분당 200원, 1일주차최고한도 : 10,000원, 월정기권 : 50,000원, 운영시간09:00~23:00", , ,피코리아 주차관리업소(02-842-0224),37.5435877,126.9120347
22,AE230,19,GIGU002,주차장, ,PST002,"요금 : 최초30분 1,000원, 초과 10분당 200원, 1일주차최고한도 : 10,000원, 월정기권 : 50,000원, 운영시간09:00~23:00", , ,(주)더한인터내셔널(02-416-0313),37.5502052,127.1220099
23,AE230,30,GIGU008,주차장,지하주차장,PST002,"요금 : 최초30분 1,000원, 초과 10분당 200원, 1일주차최고한도 : 10,000원, 월정기권 : 50,000원, 운영시간09:00~23:00", , ,피코리아 주차관리업소(02-842-0224),37.5424127,126.9016559
24,AE230,59,GIGU004,주차장,ON앞,PST002,"요금 : 최초30분 1,000원, 초과 10분당 200원, 1일주차최고한도 : 10,000원, 월정기권 : 50,000원, 운영시간09:00~23:00", , ,보고시스텍(주)(02-577-3331),37.5267321,127.0181444
27,AE230,14,GIGU011,주차장,보트장앞,PST002,"요금 : 최초30분 1,000원, 초과 10분당 200원, 1일주차최고한도 : 10,000원, 월정기권 : 50,000원, 운영시간09:00~23:00", , ,피코리아 주차관리업소(02-842-0224),37.5544785,126.89648
28,AE230,66,GIGU006,주차장,보트장앞,PST002,"요금 : 최초30분 1,000원, 초과 10분당 200원, 1일주차최고한도 : 10,000원, 월정기권 : 50,000원, 운영시간09:00~23:00", , ,보고시스텍(주)(02-577-3331),37.5202403,126.9622846
29,AE230,79,GIGU006,주차장,동작대교밑,PST002,"요금 : 최초30분 1,000원, 초과 10분당 200원, 1일주차최고한도 : 10,000원, 월정기권 : 50,000원, 운영시간09:00~23:00", , ,보고시스텍(주)(02-577-3331),37.5155728,126.9831054
56,AE230,58,GIGU002,주차장,풍납,PST002,"요금 : 최초30분 1,000원, 초과 10분당 200원, 1일주차최고한도 : 10,000원, 월정기권 : 50,000원, 운영시간09:00~23:00", , ,(주)더한인터내셔널(02-416-0313),37.5274275,127.1054488
59,AE230,37,GIGU009,주차장,당산철교밑,PST002,"요금 : 최초30분 1,000원, 초과 10분당 200원, 1일주차최고한도 : 10,000원, 월정기권 : 50,000원, 운영시간09:00~23:00", , ,피코리아 주차관리업소(02-842-0224),37.5369655,126.9044641
61,AE230,91,GIGU007,주차장,여객터미널,PST002,"요금 : 최초30분 2,000원, 초과 10분당 300원, 1일주차최고한도 : 15,000원, 월정기권 : 100,000원(샛강쪽:80,000원), 운영시간09:00~23:00", , , ,37.5289448,126.9311452
62,AE230,57,GIGU003,주차장,윈드서핑장입구,PST002,"요금 : 최초30분 1,000원, 초과 10분당 200원, 1일주차최고한도 : 10,000원, 월정기권 : 50,000원, 운영시간09:00~23:00", , ,(주)더한인터내셔널(02-416-0313),37.5275638,127.0784898
66,AE230,22,GIGU009,주차장,선착장앞1,PST002,"요금 : 최초30분 1,000원, 초과 10분당 200원, 1일주차최고한도 : 10,000원, 월정기권 : 50,000원, 운영시간09:00~23:00", , ,피코리아 주차관리업소(02-842-0224),37.5457822,126.8911356
67,AE230,23,GIGU009,주차장,선착장앞2,PST002,"요금 : 최초30분 1,000원, 초과 10분당 200원, 1일주차최고한도 : 10,000원, 월정기권 : 50,000원, 운영시간09:00~23:00", , ,피코리아 주차관리업소(02-842-0224),37.545203,126.8917434
60,AE230,21,GIGU002,주차장,수영장앞,PST002,"요금 : 최초30분 1,000원, 초과 10분당 200원, 1일주차최고한도 : 10,000원, 월정기권 : 50,000원, 운영시간09:00~23:00", , ,(주)더한인터내셔널(02-416-0313),37.5466769,127.120576
2,AE230,38,GIGU007,주차장,국회둔치,PST002,"요금 : 최초30분 2,000원, 초과 10분당 300원, 1일주차최고한도 : 15,000원, 월정기권 : 100,000원(샛강쪽:80,000원), 운영시간09:00~23:00", , , ,37.5343821,126.9145202
26,AE230,31,GIGU008,주차장,지하주차장,PST002,"요금 : 최초30분 1,000원, 초과 10분당 200원, 1일주차최고한도 : 10,000원, 월정기권 : 50,000원, 운영시간09:00~23:00", , ,피코리아 주차관리업소(02-842-0224),37.5422917,126.9018863
53,AE230,42,GIGU003,주차장, ,PST002,"요금 : 최초30분 1,000원, 초과 10분당 200원, 1일주차최고한도 : 10,000원, 월정기권 : 50,000원, 운영시간09:00~23:00", , ,(주)더한인터내셔널(02-416-0313),37.5312597,127.0653236
